SKU,Location,CostWithNoReservedInstances,FirstUsageDate,InstanceFlexibilityRatio,InstanceFlexibilityGroup,LookBackPeriod,MeterId,NetSavings,NormalizedSize,RecommendedQuantity,RecommendedQuantityNormalized,ResourceType,Scope,SkuProperties,Term,TotalCostWithReservedInstances
Standard_B4ms,eastus,24.568,2024-06-13T00:00:00Z,8.0,BS Series High Memory,Last7Days,3ff0cf00-04ae-5a23-a76e-bcafb3e4a958,15.246995433789955,Standard_B1ms,1,8.0,virtualmachines,Single,[],P3Y,9.321004566210046
Standard_D2s_v3,eastus,42.71307233066667,2024-06-13T00:00:00Z,1.0,DSv3 Series,Last7Days,9b21cb0a-5c35-5f86-9eee-0a52ece3892b,17.148346303269406,Standard_D2s_v3,3,3.0,virtualmachines,Single,[],P1Y,25.564726027397263
Standard_D4s_v4,eastus,28.448000640000004,2024-06-13T00:00:00Z,2.0,Dsv4 Series,Last7Days,89bd7cb0-f7d0-52b8-a6b4-47a4309360f5,17.66055859969559,Standard_D2s_v4,1,2.0,virtualmachines,Single,[],P3Y,10.787442040304414
Standard_B2ms,eastus,49.24941127253334,2024-06-13T00:00:00Z,4.0,BS Series High Memory,Last7Days,30ee29f4-73af-5ab1-8413-093915c26dac,20.26584962869772,Standard_B1ms,4,16.0,virtualmachines,Single,[],P1Y,28.983561643835618
Standard_D2s_v3,eastus,42.71307233066667,2024-06-13T00:00:00Z,1.0,DSv3 Series,Last7Days,9b21cb0a-5c35-5f86-9eee-0a52ece3892b,26.248232148018268,Standard_D2s_v3,3,3.0,virtualmachines,Single,[],P3Y,16.464840182648402
Standard_D8s_v3,canadacentral,64.816608732,2024-06-13T00:00:00Z,4.0,DSv3 Series,Last7Days,72ad3aeb-d1f9-5fb7-8bf8-d0626c892e37,26.85222517035617,Standard_D2s_v3,1,4.0,virtualmachines,Single,[],P1Y,37.964383561643835
Standard_B2ms,eastus,49.24941127253334,2024-06-13T00:00:00Z,4.0,BS Series High Memory,Last7Days,30ee29f4-73af-5ab1-8413-093915c26dac,30.607402140113244,Standard_B1ms,4,16.0,virtualmachines,Single,[],P3Y,18.642009132420092
Standard_DS12_v2,westus2,88.80300000000001,2024-06-13T00:00:00Z,2.0,DSv2 Series High Memory,Last7Days,c73bb00f-78a2-5b2a-8028-52be813ee7e9,36.244780821917814,Standard_DS11_v2,2,4.0,virtualmachines,Single,[],P1Y,52.5582191780822
Standard_D8s_v3,canadacentral,64.816608732,2024-06-13T00:00:00Z,4.0,DSv3 Series,Last7Days,72ad3aeb-d1f9-5fb7-8bf8-d0626c892e37,40.16470614448098,Standard_D2s_v3,1,4.0,virtualmachines,Single,[],P3Y,24.651902587519025
Standard_DS2_v2,eastus,85.10342102399999,2024-06-13T00:00:00Z,2.0,DSv2 Series,Last7Days,4d7ed6c7-3753-5d52-ba36-fcffd8434007,48.29322333292236,Standard_DS1_v2,4,8.0,virtualmachines,Single,[],P1Y,36.810197691077626
Standard_DS12_v2,westus2,88.80300000000001,2024-06-13T00:00:00Z,2.0,DSv2 Series High Memory,Last7Days,c73bb00f-78a2-5b2a-8028-52be813ee7e9,54.04767275494674,Standard_DS11_v2,2,4.0,virtualmachines,Single,[],P3Y,34.75532724505327
Standard_DS2_v2,eastus,85.10342102399999,2024-06-13T00:00:00Z,2.0,DSv2 Series,Last7Days,4d7ed6c7-3753-5d52-ba36-fcffd8434007,61.016054383150674,Standard_DS1_v2,4,8.0,virtualmachines,Single,[],P3Y,24.087366640849314
