InstanceFlexibilityGroup,InstanceFlexibilityRatio,InstanceId,Kind,ReservationOrderId,ReservationId,ReservedHours,SkuName,TotalReservedQuantity,UsageDate,UsedHours
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-04T00:00:00Z,48
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ1,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-15T00:00:00Z,0.383301
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1DemoVM3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-18T00:00:00Z,22
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-18T00:00:00Z,30
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1DemoVM3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-14T00:00:00Z,24
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-10T00:00:00Z,48
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1-DemoVM1,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-10T00:00:00Z,17.966704
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1DemoVM3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-10T00:00:00Z,23.983352
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1DemoVM2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-11T00:00:00Z,23
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1DemoVM3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-05T00:00:00Z,23
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-04T00:00:00Z,24
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ3,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-06T00:00:00Z,48
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CapRes_Test/providers/Microsoft.Compute/capacityReservationGroups/OnDemadCapRes_Test_USSouthCentralZonal/capacityReservations/CR_B_AZ2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-10T00:00:00Z,24.099888
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/CAPRES_TEST/providers/Microsoft.Compute/virtualMachines/AZ1-DemoVM1,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-18T00:00:00Z,14
BS Series,1,/subscriptions/b21e4cb7-00f7-54d6-bd85-1e4382c3bd24/resourceGroups/AZ2DEMOVM2_GROUP/providers/Microsoft.Compute/virtualMachines/AZ2DemoVM2,Reservation,179bd825-592e-55de-82e8-3605809c21df,bb955123-9d43-5f2d-9ec2-48c178959b2d,144,Standard_B1s,6,2024-06-10T00:00:00Z,5.950056
