EnrollmentNumber,MeterID,MeterName,MeterType,MeterCategory,MeterSubCategory,ServiceFamily,Product,SkuID,ProductID,MeterRegion,UnitOfMeasure,PartNumber,EffectiveStartDate,EffectiveEndDate,UnitPrice,BasePrice,MarketPrice,CurrencyCode,IncludedQuantity,OfferID,Term,PriceType
8611537,3f3127ec-5cbf-5f50-8c2e-f56233bde2ef,Additional IOPS,Additional IOPS/Month,Azure Database for MySQL,Flexible Server Storage,Databases,Az DB for MySQL Flexible Server Storage - Additional IOPS - SE South,0045,DZH318Z0DCQ4,SE South,1000 IOPS/Month,AAN-32716,06/01/2024 00:00:00,07/01/2024 00:00:00,84.5,84.5,84.5,USD,0,MS-AZR-0017P,,Consumption
8611537,49394367-a712-5822-8cbb-b1da7cc20a64,E64ads v5,1 Compute Hour,Virtual Machines,Eadsv5 Series Windows,Compute,Virtual Machines Eadsv5 Series Windows - E64ads v5 - IN West,044M,DZH318Z093WX,IN West,10 Hours,AAN-00445,06/01/2024 00:00:00,07/01/2024 00:00:00,83.1,83.1,83.1,USD,0,MS-AZR-0017P,,Consumption
8611537,42a312aa-9f07-5800-a2b7-2a4ce42a6da1,EC4as_v5,1 Compute Hour,Virtual Machines,ECasv5-series Linux,Compute,ECasv5-series Linux - EC4as_v5 - US East 2,00D2,DZH318Z09B68,US East 2,100 Hours,AAN-96063,06/01/2024 00:00:00,07/01/2024 00:00:00,22.6,22.6,22.6,USD,0,MS-AZR-0148P,,Consumption
8611537,41ea48e4-56cd-51ad-8c24-5f341974b49f,B32s v2,1 Compute Hour,Virtual Machines,Bsv2 Series Windows,Compute,Virtual Machines Bsv2 Series Windows - B32s v2 - IT North,02M6,DZH318Z0K9KD,IT North,10 Hours,AAP-43965,06/01/2024 00:00:00,07/01/2024 00:00:00,16.8,16.8,16.8,USD,0,MS-AZR-0017P,,Consumption
8611537,138dc4c0-eeef-5526-ac21-e5d147bab892,D32as v5 Low Priority,1 Compute Hour,Virtual Machines,Dasv5 Series Cloud Services,Compute,Dasv5 Series Cloud Services - D32as v5 Low Priority - IT North,0109,DZH318Z08W0R,IT North,10 Hours,AAP-27346,06/01/2024 00:00:00,07/01/2024 00:00:00,12.35,12.35,12.35,USD,0,MS-AZR-0017P,,Consumption
8611537,651fc498-86dd-5db0-abb5-c1e5c920fd10,LRS Write Additional IO,10K Write Additional IO,Storage,Standard Page Blob v2,Storage,Standard Page Blob v2 - LRS - Write Additional IO - TW North,00KC,DZH318Z0BNWT,TW North,100000000,AAP-72809,06/01/2024 00:00:00,07/01/2024 00:00:00,23.3,23.3,23.3,USD,0,MS-AZR-0148P,,Consumption
8611537,4f9103f4-d45c-5c9f-b510-5b9eba7f5bf3,Voice Calls Voice Call Country Code 52,1 Voice Call Country Code 52,Azure Monitor,,Management and Governance,Azure Monitor - Voice Calls Voice Call Country Code 52 - Preview - Microsoft Miami 1,088P,DZH318Z0BQLB,Microsoft Miami 1,1,AAM-05334,06/01/2024 00:00:00,07/01/2024 00:00:00,0,0,0,USD,0,MS-AZR-0017P,,Consumption
8611537,b00ab094-d1d3-5f0c-a1dc-18b00d9a32b9,OneLake BCDR Write Operations Capacity Usage CU,CU Hour,Microsoft Fabric,Fabric Capacity,Data,Fabric Capacity - OneLake BCDR Write Operations Capacity Usage - CU - Preview - ZA West,03B8,DZH318Z0KCZ7,ZA West,100 Hours,AAP-41601,06/01/2024 00:00:00,07/01/2024 00:00:00,31,31,31,USD,0,MS-AZR-0017P,,Consumption
8611537,5ddbf698-381c-535f-a358-7c809471e3c8,LRS Data Stored,Data Stored (GB/Month),SQL Managed Instance,Managed Instance PITR Backup Storage,Databases,SQL Managed Instance PITR Backup Storage - LRS Data Stored - ES Central,00B6,DZH318Z0BXWR,ES Central,100 GB/Month,AAP-66820,06/01/2024 00:00:00,07/01/2024 00:00:00,11.9,11.9,11.9,USD,0,MS-AZR-0017P,,Consumption
8611537,f66128db-bced-4f91-af5c-6c986a13c611,Archive LRS Data Stored,Data Stored (GB/Month),Storage,Azure Data Lake Storage Gen2 Flat Namespace,Storage,Azure Data Lake Storage Gen2 Flat Namespace - Archive LRS - Data Stored - Preview,00LQ,DZH318Z0BJRN,,1000 GB/Month,AAD-13972,06/01/2024 00:00:00,07/01/2024 00:00:00,1,1,1,USD,0,MS-AZR-0148P,,Consumption
8611537,8e745bfe-7993-52cc-bf98-230d7c0b0027,D13 v2,1 Compute Hour,Cloud Services,Dv2 Series,Compute,Cloud Services Dv2 Series - D13 v2 - BR Southeast,01GF,DZH318Z0BPW9,BR Southeast,10 Hours,AAG-39576,06/01/2024 00:00:00,07/01/2024 00:00:00,15.9,15.9,15.9,USD,0,MS-AZR-0017P,,Consumption
8611537,1bb05cf6-c5f3-5817-a0eb-4fed4ec30577,L48s v3 Low Priority,1 Compute Hour,Virtual Machines,Lsv3 Series,Compute,Virtual Machines Lsv3 Series - L48s v3 Low Priority - ZA North,014L,DZH318Z08NR7,ZA North,10 Hours,AAM-79853,06/01/2024 00:00:00,07/01/2024 00:00:00,10.99,10.99,10.99,USD,0,MS-AZR-0148P,,Consumption
8611537,035af7fc-74f7-5c82-bb4a-46e794e0c468,Cold LRS Early Delete,Early Delete (GB),Storage,Tiered Block Blob,Storage,General Block Blob v2 - Cold LRS - Early Delete - US West 3,02CP,DZH318Z0BPH7,US West 3,10 TB,AAN-55686,06/01/2024 00:00:00,07/01/2024 00:00:00,36,36,36,USD,0,MS-AZR-0017P,,Consumption
8611537,76c69e8a-8ebf-55f2-8161-e6ede09ca458,Cool Data Retrieval,Data Retrieval (GB),Storage,Tiered Block Blob,Storage,Tiered Block Blob - Cool - Data Retrieval - Preview - ATT Atlanta 1,00Q7,DZH318Z0BNZJ,ATT Atlanta 1,1 GB,AAM-02508,06/01/2024 00:00:00,07/01/2024 00:00:00,0.01,0.01,0.01,USD,0,MS-AZR-0017P,,Consumption
8611537,69ba5dfd-bd05-5813-85ea-23a1198d9518,D2s v5 Low Priority,1 Compute Hour,Virtual Machines,Dsv5 Series,Compute,Virtual Machines Dsv5 Series - D2s v5 Low Priority - US Central,00C9,DZH318Z08M9W,US Central,1000 Hours,AAM-29243,06/01/2024 00:00:00,07/01/2024 00:00:00,21.7,21.7,21.7,USD,0,MS-AZR-0017P,,Consumption
8611537,e2550a53-0a2f-5938-9cce-4440fd0e8fa4,Standard_E112_iadms_v5,1 Compute Hour,Virtual Machines,Eiadmsv5-series Linux,Compute,Eiadmsv5-series Linux - Standard_E112_iadms_v5 - UK South,0028,DZH318Z0B5C2,UK South,10 Hours,AAM-77757,06/01/2024 00:00:00,07/01/2024 00:00:00,94.86,94.86,94.86,USD,0,MS-AZR-0148P,,Consumption
8611537,0a5fa759-193e-5491-90ba-9b4d0f7b8133,D4as v5 Promo,1 Compute Hour,Virtual Machines,Dasv5 Promo Series Windows,Compute,Virtual Machines Dasv5 Promo Series Windows - D4as v5 Promo - Dev/Test - US East 2,005M,DZH318Z08W2K,US East 2,100 Hours,AAJ-55928,06/01/2024 00:00:00,07/01/2024 00:00:00,15.4,15.4,15.4,USD,0,MS-AZR-0148P,,Consumption
8611537,bd00817a-59ae-528d-8a7d-fc385d0a1409,Ebsv5-Type1,1 Compute Hour,Virtual Machines,Ebsv5 Series Dedicated Host,Compute,Ebsv5 Series Dedicated Host - Ebsv5-Type1 - KR South,000L,DZH318Z0JD3P,KR South,10 Hours,AAM-77347,06/01/2024 00:00:00,07/01/2024 00:00:00,25.96,,25.955696,USD,0,MS-AZR-0148P,P3Y,SavingsPlan
8611537,e16c62b2-29e2-5800-8e36-0669885f5f6b,gpt-4-turboVisionBatch128K Outp-glbl Tokens,1K Tokens,Cognitive Services,Azure OpenAI,AI + Machine Learning,Azure OpenAI - gpt-4-turboVisionBatch128K Outp-glbl Tokens - Preview - CH West,0PNK,DZH318Z0HHG7,CH West,1000000,AAR-36938,06/01/2024 00:00:00,07/01/2024 00:00:00,30,30,30,USD,0,MS-AZR-0148P,,Consumption
8611537,b9a06a45-80d5-55d4-9927-9e6e55fcce60,M208-104s_v2,1 Compute Hour,Virtual Machines,MSv2 Series Windows,Compute,Virtual Machines MSv2 Series Windows - M208-104s_v2 - UK West,01D1,DZH318Z0BX63,UK West,1 Hour,AAP-80428,06/01/2024 00:00:00,07/01/2024 00:00:00,36.56,36.56,36.56,USD,0,MS-AZR-0017P,,Consumption
8611537,068c7e88-39f4-5231-951a-c00b00c71a3f,E64-16ds v5,1 Compute Hour,Virtual Machines,Edsv5 Series,Compute,Virtual Machines Edsv5 Series - E64-16ds v5 - Preview - ATT Atlanta 1,040V,DZH318Z096SN,ATT Atlanta 1,1 Hour,AAL-96967,06/01/2024 00:00:00,07/01/2024 00:00:00,6.22,6.22,6.22,USD,0,MS-AZR-0017P,,Consumption
8611537,0c3624ee-228f-4363-9a44-bdc7dbd875c6,D11 v2/DS11 v2,1 Compute Hour,Virtual Machines,Dv2/DSv2 Series,Compute,Virtual Machines Dv2/DSv2 Series - D11 v2/DS11 v2 - EU West,00WF,DZH318Z0BQ34,EU West,10 Hours,997-03332,06/01/2024 00:00:00,07/01/2024 00:00:00,1.44,,1.444,USD,0,MS-AZR-0148P,P1Y,SavingsPlan
8611537,96fece38-e99a-597c-bd99-ec69e0cd0ac9,Standard_D8as_v5 vCore,1 vCore Hour,Azure Managed Instance for Apache Cassandra,Compute,Databases,Azure Managed Instance for Apache Cassandra - Compute - Standard_D8as_v5 vCore - US North Central,09R5,DZH318Z08VF5,US North Central,100 Hours,AAM-83305,06/01/2024 00:00:00,07/01/2024 00:00:00,51.6,51.6,51.6,USD,0,MS-AZR-0017P,,Consumption
8611537,11341580-b55e-5ab1-ab1b-6b2f37fab294,Archive LRS Blob Inventory,Blob Inventory,Storage,Tiered Block Blob,Storage,General Block Blob v2 - Archive LRS - Blob Inventory - US West 3,01D8,DZH318Z0BPH7,US West 3,10000000000,AAN-32673,06/01/2024 00:00:00,07/01/2024 00:00:00,25,25,25,USD,0,MS-AZR-0148P,,Consumption
8611537,1fbdbaca-528d-50b5-9ccf-c26925ed8070,E20 v4,1 Compute Hour,Virtual Machines,Ev4 Series,Compute,Virtual Machines Ev4 Series - E20 v4 - US South Central,004Z,DZH318Z0D1L7,US South Central,10 Hours,AAF-54620,06/01/2024 00:00:00,07/01/2024 00:00:00,10.23,,10.233216,USD,0,MS-AZR-0148P,P1Y,SavingsPlan
8611537,237ca4a5-d75c-5f4c-96ad-ca3e3cfa584a,B2ls v2,1 Compute Hour,Virtual Machines,Bsv2 Series Cloud Services,Compute,Bsv2 Series Cloud Services - B2ls v2 - SE South,00GJ,DZH318Z0K9KC,SE South,1000 Hours,AAP-15471,06/01/2024 00:00:00,07/01/2024 00:00:00,65.4,65.4,65.4,USD,0,MS-AZR-0148P,,Consumption
8611537,9a96b3b1-8baf-5575-92c3-39fb48709a6d,Standard_M96ds_2_v3,1 Compute Hour,Virtual Machines,Mdsv3 Medium Memory Series Linux,Compute,Virtual Machines Mdsv3 Medium Memory Series Linux - Standard_M96ds_2_v3 - EU North,00JL,DZH318Z0K7CZ,EU North,1 Hour,AAP-40222,06/01/2024 00:00:00,07/01/2024 00:00:00,5.56,,5.556412,USD,0,MS-AZR-0148P,P3Y,SavingsPlan
8611537,846cc9b0-23bf-5f90-a080-7d8ac5f28db4,E2ps v5,1 Compute Hour,Virtual Machines,Epsv5 Series,Compute,Virtual Machines Epsv5 Series - E2ps v5 - FR Central,0009,DZH318Z092S9,FR Central,100 Hours,AAM-72970,06/01/2024 00:00:00,07/01/2024 00:00:00,8.04,,8.0358,USD,0,MS-AZR-0148P,P1Y,SavingsPlan
8611537,e3c4d66c-247e-53b1-adc6-c7e801bd461b,E4as v5 Low Priority,1 Compute Hour,Virtual Machines,Easv5 Series,Compute,Virtual Machines Easv5 Series - E4as v5 Low Priority - AU Southeast,02D1,DZH318Z093WZ,AU Southeast,1000 Hours,AAM-28819,06/01/2024 00:00:00,07/01/2024 00:00:00,58.8,58.8,58.8,USD,0,MS-AZR-0148P,,Consumption
8611537,35a559de-6c78-5918-a470-0b1b5734aa3c,GRS List and Create Container Operations,10K List and Create Container Operations,Storage,Tiered Block Blob,Storage,Tiered Block Blob - GRS - List and Create Container Operations - SE Central,00N8,DZH318Z0BNZJ,SE Central,1000000,AAF-81683,06/01/2024 00:00:00,07/01/2024 00:00:00,11.5,11.5,11.5,USD,0,MS-AZR-0148P,,Consumption
8611537,c48dbc16-134a-400c-ae4a-99156fdaf209,M32ls,1 Compute Hour,Virtual Machines,MS Series,Compute,Virtual Machines MS Series - M32ls - US South Central,02C5,DZH318Z0BQ4W,US South Central,10 Hours,AAD-35974,06/01/2024 00:00:00,07/01/2024 00:00:00,34.48,34.48,34.48,USD,0,MS-AZR-0148P,,Consumption
8611537,0b293064-34cd-55d6-a459-eb2d38c34ce1,D8 v4,1 Compute Hour,Virtual Machines,Dv4 Series,Compute,Virtual Machines Dv4 Series - D8 v4 - NO East,01KM,DZH318Z0D1L4,NO East,100 Hours,AAH-56650,06/01/2024 00:00:00,07/01/2024 00:00:00,38.46,,38.456,USD,0,MS-AZR-0017P,P1Y,SavingsPlan
8611537,ffd00b46-06bd-59ff-a7e4-d36c03c87c7e,88 vCPU VM License,1 License Hour,Virtual Machines Licenses,SQL Server Developer Ubuntu Pro,Compute,SQL Server Developer Ubuntu Pro - 88 vCPU VM License - Dev/Test,000W,DZH318Z0937D,,100 Hours,AAL-32173,06/01/2024 00:00:00,07/01/2024 00:00:00,0,15.2,0,USD,0,MS-AZR-0148P,,Consumption
8611537,9476b7b6-3ee6-581d-ab71-6813da3133fc,D16ds v4,1 Compute Hour,Virtual Machines,Ddsv4 Series,Compute,Virtual Machines Ddsv4 Series - D16ds v4 - AU Central 2,020G,DZH318Z0CSHM,AU Central 2,10 Hours,AAJ-36880,06/01/2024 00:00:00,07/01/2024 00:00:00,11.36,11.77,11.36,USD,0,MS-AZR-0148P,,Consumption
8611537,d9f087ee-d09e-55ba-9707-b9b8f84844a9,,1 Compute Hour,Virtual Machines,Easv5 Series DedicatedHost,Compute,"Reserved VM Instance, Easv5_Type1, UK South, 3 Years",0020,DZH318Z092QF,UK South,1 Hour,AAL-49129,06/19/2024 00:00:00,,70128,,70128,USD,0,,P3Y,ReservedInstance
8611537,85a742f5-4a8f-4a11-8d48-1c6559889d0c,,1 Compute Hour,Virtual Machines,Virtual Machines D Series,Compute,"Reserved VM Instance, Standard_D11, BR South, 3 Years",006F,DZH318Z0BQ4B,BR South,1 Hour,AAD-56565,06/19/2024 00:00:00,,4308,,4308,USD,0,,P3Y,ReservedInstance
8611537,28ecfc04-8743-5bcf-8767-096590f4ccaa,,1 Compute Hour,Virtual Machines,FSv2 Series Dedicated Host,Compute,"Reserved VM Instance, Fsv2 Type3, US West 3, 1 Year",009D,DZH318Z0C621,US West 3,1 Hour,AAD-56609,06/19/2024 00:00:00,,20236,,20236,USD,0,,P1Y,ReservedInstance
8611537,cec5e564-33cc-45b2-ac91-34408ff76e8b,,1 Disk/Month,Storage,Premium SSD Managed Disks,Storage,"Premium SSD Managed Disks, P40, JA West, 1 Year",014J,DZH318Z0BP04,JA West,1/Month,AAA-94225,06/19/2024 00:00:00,,3088,,3088,USD,0,,P1Y,ReservedInstance
8611537,a5332f00-b44d-5606-a782-033508469491,,1 Cache Hour,Redis Cache,Azure Redis Cache Enterprise,Databases,"Azure Redis Cache Enterprise, E10, US West Central, 3 Years",000N,DZH318Z0DBT8,US West Central,1 Hour,AAD-56684,06/19/2024 00:00:00,,5690,,5690,USD,0,,P3Y,ReservedInstance
8611537,d18a7b57-28c4-5041-9d2c-b286bb3cb191,,1 Compute Hour,Virtual Machines,Virtual Machines ESv3 Series,Compute,"Reserved VM Instance, Standard_E8-4s_v3, QA Central, 1 Year",069X,DZH318Z0BQ4R,QA Central,1 Hour,AAD-56571,06/19/2024 00:00:00,,3196,,3196,USD,0,,P1Y,ReservedInstance
